StoreID,StoreName,Label
a8wv,陶城石頭火鍋,服務
a8zc,爆Q美式炸雞 (嘉義民族店),服務
a9av,和風菜菜日式家庭料理,環境
a9ce,粉寶中西式早午餐,美味
a9ct,玲姐滷味,美味
a9dq,思茶 (新竹新莊店),環境
a9gc,舞奇雞（員林新義店）,美味
a9gl,克里姆晨食 (嘉義店),服務
a9jm,日日裝茶 (彰化員林大同店),服務
a9jz,靜修小籠包,美味
a9lg,小飛象早午餐,環境
a9lm,福記爌肉飯,美味
a9ly,禾籽八斗鴨肉油飯 (彰化自強店),美味
a9mk,阿貴夯雞排,美味
a9mq,48-2飯麵小館,服務
a9nl,渼橘客新鮮果優格專賣店,美味
a9of,小鮮雞鹹水雞 滷味,美味
a9oq,舞天狗,服務
a9qk,嘉義豆奶攤 (嘉義文化總店),服務
a9qv,秀姨炸雞冷飲專賣店 (嘉義新生店),服務
a9su,銅共啊餅 (紅豆餅),美味
a9sz,好哞 HAO MOU,服務
a9tl,橙食漢堡,環境
a9tp,四季自然冰品,環境
a9vn,阿忠牛肉湯,服務
a9vo,華成薑母鴨,美味
a9wa,東門圓環火婆煎粿,環境
a9xc,卓武咖啡,環境
a9xh,清心福全 (嘉義仁愛店),美味
a9xy,租界鹽酥雞/臭豆腐專賣店,美味
a9zf,豪味亭國際茶飲 (嘉義文化總店),服務
a9zt,愛夫夫咖啡ifufucoffee (複合式餐廳),環境
abnt,溪湖阿讚豬腳爌肉飯專賣店,環境
aby9,牟牟TEA (彰化鹿東店),美味
acl0,老牌涼麵 (嘉義林森店),美味
acvv,翔美素食簡餐,服務
ad3z,今生茶記 Lifetime Tea 嘉義站前店,服務
ad6f,忠珍 溫州大餛飩,美味
ad9e,員林爌肉義,服務
adey,阿嬸泰式料理,環境
ae5c,真心茶飲,美味
aed2,春樹豆漿早食,服務
af2v,CoCo都可 (彰化和美店),服務
affu,韓金量新韓式炸雞 (彰化員林店),美味
afyh,胖尊爌肉飯,美味
agap,小玉快炒,美味
agd8,隔壁宵夜 (新竹中央店),服務
ah8k,享稻Enjoy Sushi,環境
ah9i,虎作章魚燒,美味
ahyb,尚蓋青現切水果,美味
aidc,腦丼大咖,環境
aj5e,快樂雞 (新竹延平店),環境
ak80,肉殿堂 (彰化中山店),環境
akl5,08平價快炒,服務
akna,三分春色 (新竹東門店),環境
akxu,來來牛排 (彰化和美店),美味
al0m,點子鹹水雞,服務
al3t,洪家雞肉飯,美味
al65,滇麵過橋米線,服務
aml8,(極)黃燜雞米飯 (新竹長春店),環境
amtk,上上籤吉品涮涮鍋,環境
amy0,朕的嚐粉 (新竹東南店),環境
an17,Morni莫尼早午餐 (彰化辭修店),環境
an5e,阿彤北和牛燒肉,環境
an69,員湘園鴨肉飯 (彰化彰美店),服務
an9n,Aposo艾波索法式甜點 (新竹關新店),環境
anso,餃幸 日本煎餃,環境
anva,冰封仙果 (彰化秀水店),環境
ao19,遠水流人文茶飲 (員林總店),美味
ap9k,圓仔日式關東煮,美味
aq2c,築間幸福鍋物 (彰化華山店),環境
aq3i,承式炒麵炒飯,美味
aqc4,披薩樂 手工披薩,服務
aqk8,覓雪Mixshare手作雪花冰,環境
ari2,冠津烏龍麵 鍋燒,環境
as0q,江滬上海小籠湯包,服務
as2d,NENE CHICKEN (新竹民生店),服務
as6l,竹塹茶飲,服務
atne,小路食堂,環境
atty,親愛的小籠湯包 (新竹南大店),服務
au4y,孫東寶 (嘉義博愛店),環境
auck,極品現打果汁,環境
aujg,愛呷冰本舖,美味
awc4,慕飲客 MNC,環境
awcz,陳記臭豆腐,服務
aws0,尚讚豆花,環境
ax8h,鹿港大頭香牛排火鍋,美味
ay25,老乾杯 (嘉義耐斯王子店),環境
aymh,菇雞菇雞美式炸雞,服務
azpt,小鳳素食自助餐,美味
b0cj,元生補湯,環境
b0cv,勝一美食館,服務
b0dr,私房泰 (彰化永福店),環境
b0gt,隱鍋 (彰化員林店),環境
b0mt,舞醬館,環境
b0pb,喬賣麵#義大利麵,美味
b0pd,大碗公冰·甜品 (新竹中正店),服務
b0pn,綠茶道果汁茶飲,美味
b0pt,唯克咖啡輕食 (員林站前店),環境
b0py,盧記簡速餐,環境
b0qr,御鼎牛肉麵(和美店),環境
b0re,搖滾披薩Pizza Rock (新竹光復店),服務
b0vj,艾咪早餐Amy Breakfast,環境
b0wh,華龍粥,美味
b1cn,帕士噠義大利麵、焗烤 (嘉義光華店),美味
b1hr,雅日本料理,環境
b1po,鼎莊火雞肉飯,美味
b1pu,大立快炒,服務
b1qe,大大滷味,美味
b1ra,食神滷味 (彰化彰美店),環境
b1ww,可味肉乾,美味
b2bi,福井餐廳,環境
b2cy,劉媽媽薏仁養身粥,美味
b2dx,蜀山四川烤魚 (嘉義民生店),環境
b2es,陸柒零年代飲品創始店（嘉義台林分行）,服務
b2iy,異人館 (嘉義大雅店),環境
b2nd,飯漁民食堂,環境
b2yx,職人燒丼食堂,美味
b2yz,頂樓的蕃茄紅了,服務
b2ze,地6攤牛排 (彰化三民店),環境
b36p,咕G咕G塩酥雞,美味
b3ab,無名虱目魚餐車,美味
b3ez,慧心冰店,服務
b3fj,豆豆喝豆漿,環境
b3gm,窗口土司,服務
b3gt,故鄉燒烤熱炒,服務
b3in,金品魷魚羹鮮魚湯,環境
b3km,阿娥手作蛋餅,環境
b3ob,吉祥手作便當專賣店,美味
b3rw,阿誠炸雞,美味
b3up,興南門烤肉,環境
b3yf,阿澄碳烤,環境
b3zc,搖滾披薩Pizza Rock (彰化中正店),環境
b4hg,熊富手打烏龍麵,環境
b4jf,KiKiCoCo手作米米煎&小蝦米碗粿,環境
b4jr,九條牛牛肉麵 (嘉義總店),環境
b4lr,雙寶紅豆餅,美味
b4ls,斑馬豆花 (新竹水田店),服務
b4pf,吳家小吃,服務
b4rs,北方水餃,服務
b4ts,星賀便當,服務
b4xg,江媽媽雞排 (嘉義芳安店),美味
b4yg,薯條哥甘梅薯條 (彰化和美店),美味
b5az,三媽臭臭鍋 (和美和頭店),服務
b5dw,泰之棧雲泰食堂,環境
b5em,美味蔥抓餅,美味
b5ih,蓮鋐中西式素食,環境
b5pa,來客平價牛排 (彰化員林店),美味
b5pf,上禾肉羹,美味
b5rm,熊姐煎餃、麵食,環境
b5rz,依濃-嘉義文化店（原提米可可）,服務
b5xe,蒝味甘梅薯條,美味
b63p,老賴茶棧 (新竹竹科店),服務
b6ao,万丹紅豆餅 (新竹西門店),美味
b6aw,脆皮雞排 (彰化店),美味
b6ax,原新竹假日花市一善牛排,美味
b6cu,永河傳統豆花湯圓 (彰化永安店),美味
b6k9,數一數二碳烤雞排 (嘉義民生店),美味
b6ky,益豪鍋燒專賣店 (彰化民族店),環境
b6ps,李林烤肉之家 (彰化員林店),服務
b6rx,炒飯傳奇,服務
b6se,天香清素食館,服務
b6yu,新榮路米糕(原蘭井街),美味
b6zx,炸擱來鹹酥雞,環境
b7bo,文良師餐廳,美味
b7en,周鱔魚料理,美味
b7ka,大爺鹽酥雞 (新竹食品店),服務
b7uu,幸福義餐家庭美味料理,環境
b7vw,黃橙子早午餐,環境
b7vz,三十張燒烤 (彰化和美店),美味
b7yp,阿涼壽司屋(日式料理),美味
b7zl,舊廚飯廳,環境
b84x,俏媛媛韓式飯捲,美味
b85g,雲朵咬一口 (嘉義南京店),環境
b89e,絕佳食雞 (嘉義民族店),服務
b8a0,有點帥食行,美味
b8a5,三角埔仙草,美味
b8ao,手作功夫茶 (新竹高翠店),環境
b8dj,漁牧丼飯壽司,環境
b8fh,九圓茶行,服務
